hit_id,assignment_id,worker_id,variable,value
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,q1,Somewhat easy
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,q2,More concerned than excited
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,q3,4
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,creative-slider,74
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,q5,I tried to remember the sorts of things I have previously associated with sneakers and assessed whether they were appropriate to include in this task. I also tried to look at the general shape of the product and what sorts of uses they may have more generally.
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,q6,No
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,workerId,AKSJ3C5O3V9RB
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3IOEN3P9SR9ACD7HFZVU7473DNG61U,AKSJ3C5O3V9RB,data,"{""0"":""absent"",""1"":{""How Creative?"":""74"",""Increased AI use makes you feel"":""More concerned than excited""},""2"":{""PageLoad"":""2024-04-20T17:46:32.973Z""},""3"":{""Prompt"":""Table"",""Response"":[{""id"":0,""iid"":0,""name"":""EASEL"",""time"":""2024-04-20T17:46:44.974Z""},{""id"":1,""iid"":1,""name"":""Canvas"",""time"":""2024-04-20T17:46:50.765Z""},{""id"":2,""iid"":2,""name"":""head rest"",""time"":""2024-04-20T17:46:58.925Z""},{""id"":3,""iid"":3,""name"":""ottoman"",""time"":""2024-04-20T17:47:03.292Z""},{""id"":4,""iid"":4,""name"":""substrate for writing"",""time"":""2024-04-20T17:47:11.978Z""},{""id"":5,""iid"":5,""name"":""cutting board"",""time"":""2024-04-20T17:47:17.045Z""},{""id"":6,""iid"":6,""name"":""use to knead dough"",""time"":""2024-04-20T17:47:24.372Z""},{""id"":7,""iid"":7,""name"":""use to communicate messages"",""time"":""2024-04-20T17:47:40.035Z""},{""id"":8,""iid"":8,""name"":""substrate for artwork"",""time"":""2024-04-20T17:47:47.551Z""},{""id"":9,""iid"":9,""name"":""piece of a ladder"",""time"":""2024-04-20T17:47:56.940Z""},{""id"":10,""iid"":10,""name"":""step stool"",""time"":""2024-04-20T17:48:12.189Z""},{""id"":11,""iid"":11,""name"":""stool"",""time"":""2024-04-20T17:48:25.380Z""}]},""4"":{""Prompt"":""Pants"",""Response"":[{""id"":12,""iid"":0,""name"":""use to make patches"",""time"":""2024-04-20T17:48:55.524Z""},{""id"":13,""iid"":1,""name"":""sleeve protectors"",""time"":""2024-04-20T17:49:05.327Z""},{""id"":14,""iid"":2,""name"":""hat"",""time"":""2024-04-20T17:49:11.286Z""},{""id"":15,""iid"":3,""name"":""head covering"",""time"":""2024-04-20T17:49:16.399Z""},{""id"":16,""iid"":4,""name"":""storage"",""time"":""2024-04-20T17:49:21.676Z""},{""id"":17,""iid"":5,""name"":""use to hide valuables"",""time"":""2024-04-20T17:49:31.193Z""},{""id"":18,""iid"":6,""name"":""camouflage"",""time"":""2024-04-20T17:49:35.509Z""},{""id"":19,""iid"":7,""name"":""umbrella"",""time"":""2024-04-20T17:49:40.359Z""},{""id"":20,""iid"":8,""name"":""door mat"",""time"":""2024-04-20T17:49:49.215Z""},{""id"":21,""iid"":9,""name"":""places shoes on them to avoid your floor getting dirty"",""time"":""2024-04-20T17:50:09.878Z""},{""id"":22,""iid"":10,""name"":""pillow"",""time"":""2024-04-20T17:50:23.763Z""},{""id"":23,""iid"":11,""name"":""head rest"",""time"":""2024-04-20T17:50:29.966Z""},{""id"":24,""iid"":12,""name"":""pillow"",""time"":""2024-04-20T17:50:35.334Z""},{""id"":25,""iid"":13,""name"":""cushion"",""time"":""2024-04-20T17:50:39.536Z""}]},""5"":{""Prompt"":""Tire"",""Response"":[{""id"":26,""iid"":0,""name"":""toy"",""time"":""2024-04-20T17:50:48.077Z""},{""id"":27,""iid"":1,""name"":""planter"",""time"":""2024-04-20T17:50:52.531Z""},{""id"":28,""iid"":2,""name"":""use to smooth wrinkles"",""time"":""2024-04-20T17:51:00.986Z""},{""id"":29,""iid"":3,""name"":""use to smooth dirt in a garden"",""time"":""2024-04-20T17:51:11.687Z""},{""id"":30,""iid"":4,""name"":""part of a barrier"",""time"":""2024-04-20T17:51:18.680Z""},{""id"":31,""iid"":5,""name"":""use to prevent invaders from breaching one's property"",""time"":""2024-04-20T17:51:43.865Z""},{""id"":32,""iid"":6,""name"":""source of raw rubber"",""time"":""2024-04-20T17:51:52.703Z""},{""id"":33,""iid"":7,""name"":""cut pieces to repair products at home"",""time"":""2024-04-20T17:52:08.731Z""},{""id"":34,""iid"":8,""name"":""use as a sealant"",""time"":""2024-04-20T17:52:17.983Z""},{""id"":35,""iid"":9,""name"":""part of an obstacle course"",""time"":""2024-04-20T17:52:34.150Z""},{""id"":36,""iid"":10,""name"":""part of fitness regimen"",""time"":""2024-04-20T17:52:40.011Z""}]},""6"":{""Prompt"":""Shoe"",""Response"":[{""id"":37,""iid"":0,""name"":""storage"",""time"":""2024-04-20T17:53:54.355Z""},{""id"":38,""iid"":1,""name"":""jewelry box"",""time"":""2024-04-20T17:54:02.519Z""},{""id"":39,""iid"":2,""name"":""planter"",""time"":""2024-04-20T17:54:06.386Z""},{""id"":40,""iid"":3,""name"":""pot"",""time"":""2024-04-20T17:54:10.004Z""},{""id"":41,""iid"":4,""name"":""set up as a barrier"",""time"":""2024-04-20T17:54:17.041Z""},{""id"":42,""iid"":5,""name"":""part of a fitness regimen"",""time"":""2024-04-20T17:54:25.849Z""},{""id"":43,""iid"":6,""name"":""use the rubber to repair home products"",""time"":""2024-04-20T17:54:36.274Z""},{""id"":44,""iid"":7,""name"":""use the fabric as patches to mend clothing"",""time"":""2024-04-20T17:54:47.148Z""},{""id"":45,""iid"":8,""name"":""use the shoelaces as ties"",""time"":""2024-04-20T17:54:59.003Z""},{""id"":46,""iid"":9,""name"":""use to smooth out dirt in a garden"",""time"":""2024-04-20T17:55:16.989Z""}]},""7"":{""HideTime"":0},""feedback"":{""q1"":""Somewhat easy"",""q2"":""More concerned than excited"",""q3"":""4"",""q4"":""74"",""q5"":""I tried to remember the sorts of things I have previously associated with sneakers and assessed whether they were appropriate to include in this task. I also tried to look at the general shape of the product and what sorts of uses they may have more generally. "",""q6"":""No""},""assignmentId"":""3IOEN3P9SR9ACD7HFZVU7473DNG61U"",""hitId"":""3RTFSSG7URWI9FTY9PLG0TJ350ALW7"",""workerId"":""AKSJ3C5O3V9RB"",""ts_submitted_"":""2024-04-20T17:59:20.054Z""}"
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3YDTZAI2WH6WXQ33WB2FA6NPHWC419,A26UIS59SY4NM6,q1,Somewhat difficult
3RTFSSG7URWI9FTY9PLG0TJ350ALW7,3YDTZAI2WH6WXQ33WB2FA6NPHWC419,A26UIS59SY4NM6,q2,More excited than concerned
