hit_id,assignment_id,worker_id,variable,value
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,308XBLVES2U4BUNT9KRHOBB8PBSBRV,A3CCFD0700KTPV,q1,Very difficult
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,308XBLVES2U4BUNT9KRHOBB8PBSBRV,A3CCFD0700KTPV,q2,More concerned than excited
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,308XBLVES2U4BUNT9KRHOBB8PBSBRV,A3CCFD0700KTPV,q3,4
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,308XBLVES2U4BUNT9KRHOBB8PBSBRV,A3CCFD0700KTPV,creative-slider,62
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,308XBLVES2U4BUNT9KRHOBB8PBSBRV,A3CCFD0700KTPV,q5,no
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,308XBLVES2U4BUNT9KRHOBB8PBSBRV,A3CCFD0700KTPV,workerId,A3CCFD0700KTPV
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,308XBLVES2U4BUNT9KRHOBB8PBSBRV,A3CCFD0700KTPV,data,"{""0"":""absent"",""1"":{""How Creative?"":""65"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""Prompt"":""Bottle"",""Response"":[{""id"":0,""iid"":0,""name"":""mobile w hanging bottle"",""time"":""2024-03-13T19:49:07.078Z""},{""id"":1,""iid"":1,""name"":""musical instrument with water filled to various levels"",""time"":""2024-03-13T19:49:26.502Z""},{""id"":2,""iid"":2,""name"":""game set up to pitch objects like in an arcade"",""time"":""2024-03-13T19:49:45.031Z""},{""id"":3,""iid"":3,""name"":""use for drinks that are prepared for a party"",""time"":""2024-03-13T19:49:58.874Z""},{""id"":4,""iid"":4,""name"":""use for paints "",""time"":""2024-03-13T19:50:04.054Z""}]},""3"":{""Prompt"":""Lightbulb"",""Response"":[{""id"":5,""iid"":0,""name"":""Use lightbulbs to create a glowing mural by painting them and rearranging them"",""time"":""2024-03-13T19:51:24.343Z""},{""id"":6,""iid"":1,""name"":""Taking lightbulbs and wiring them to a board and transmitting coded signals for exhibition"",""time"":""2024-03-13T19:51:56.861Z""},{""id"":7,""iid"":2,""name"":""lighting a mural outdoors make of lightbulbs and changing the images of the lights by on/off switch"",""time"":""2024-03-13T19:52:36.517Z""}]},""4"":{""Prompt"":""Tire"",""Response"":[{""id"":8,""iid"":0,""name"":""Tires are needed for recycling"",""time"":""2024-03-13T19:53:12.800Z""},{""id"":9,""iid"":1,""name"":""reusing old tires is a gamechanger for those who can invent the correct usages and this makes a good contest - let people create the contest with their entries"",""time"":""2024-03-13T19:54:10.263Z""},{""id"":10,""iid"":2,""name"":""Environmental preservation should be illustrated through recycled tires creating an artistic image depicting our efforts"",""time"":""2024-03-13T19:54:47.272Z""}]},""5"":{""Prompt"":""Ball"",""Response"":[{""id"":11,""iid"":0,""name"":""using exercise balls in a classroom and as an optional seating area"",""time"":""2024-03-13T19:57:27.286Z""}]},""feedback"":{""q1"":""Very difficult"",""q2"":""More concerned than excited"",""q3"":""4"",""q4"":""62"",""q5"":""no""},""assignmentId"":""308XBLVES2U4BUNT9KRHOBB8PBSBRV"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A3CCFD0700KTPV"",""ts_submitted_"":""2024-03-13T19:58:30.474Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3G0WWMR1UFA602XQZV7QAG1XAE4NQV,A14O5IIY74ZV0P,q1,Very easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3G0WWMR1UFA602XQZV7QAG1XAE4NQV,A14O5IIY74ZV0P,q2,Equally excited and concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3G0WWMR1UFA602XQZV7QAG1XAE4NQV,A14O5IIY74ZV0P,q3,3
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3G0WWMR1UFA602XQZV7QAG1XAE4NQV,A14O5IIY74ZV0P,creative-slider,83
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3G0WWMR1UFA602XQZV7QAG1XAE4NQV,A14O5IIY74ZV0P,q5,No
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3G0WWMR1UFA602XQZV7QAG1XAE4NQV,A14O5IIY74ZV0P,workerId,A14O5IIY74ZV0P
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3G0WWMR1UFA602XQZV7QAG1XAE4NQV,A14O5IIY74ZV0P,data,"{""0"":""generate"",""1"":{""How Creative?"":""100"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""Prompt"":""Toothbrush"",""Response"":[{""id"":0,""name"":""Use it as a paintbrush for creating intricate toothpaste designs on the bathroom mirror"",""time"":""2024-03-13T19:56:32.680Z"",""iid"":0}]},""3"":{""Prompt"":""Ball"",""Response"":[{""id"":1,""name"":""Creative ink stamp by dipping it in paint and rolling onto paper"",""time"":""2024-03-13T19:58:15.552Z"",""iid"":0}]},""4"":{""Prompt"":""Bottle"",""Response"":[{""id"":2,""name"":""A planter for growing herbs or small plants"",""time"":""2024-03-13T19:59:56.565Z"",""iid"":0},{""id"":3,""name"":""A piggy bank collecting spare change"",""time"":""2024-03-13T20:00:28.790Z"",""iid"":1}]},""5"":{""Prompt"":""Tire"",""Response"":[{""id"":4,""name"":""Use as a giant hula hoop in a workout class"",""time"":""2024-03-13T20:02:54.628Z"",""iid"":0},{""id"":5,""name"":""Use as a unique seat for a tree swing"",""time"":""2024-03-13T20:03:41.629Z"",""iid"":1}]},""feedback"":{""q1"":""Very easy"",""q2"":""Equally excited and concerned"",""q3"":""3"",""q4"":""83"",""q5"":""No""},""assignmentId"":""3G0WWMR1UFA602XQZV7QAG1XAE4NQV"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A14O5IIY74ZV0P"",""ts_submitted_"":""2024-03-13T20:04:50.400Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,A2YW7RDY1OLC66,q1,Somewhat easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,A2YW7RDY1OLC66,q2,More excited than concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,A2YW7RDY1OLC66,q3,4
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,A2YW7RDY1OLC66,creative-slider,100
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,A2YW7RDY1OLC66,q5,No.
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,A2YW7RDY1OLC66,workerId,A2YW7RDY1OLC66
