hit_id,assignment_id,worker_id,variable,value
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,q1,Somewhat difficult
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,q2,Equally excited and concerned
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,q3,4
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,creative-slider,15
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,q5,Think of things that might have been used in an emergency in the past.
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,q6,no
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,workerId,AZNIEFUIVB2H0
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U,AZNIEFUIVB2H0,data,"{""0"":""absent"",""1"":{""How Creative?"":""15"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""PageLoad"":""2024-05-28T14:25:05.350Z""},""3"":{""Prompt"":""Tire"",""Response"":[{""id"":0,""iid"":0,""name"":""Building block for wall construction"",""time"":""2024-05-28T14:25:53.020Z""},{""id"":1,""iid"":1,""name"":""planter for plants"",""time"":""2024-05-28T14:26:25.789Z""},{""id"":2,""iid"":2,""name"":""soles for shoes"",""time"":""2024-05-28T14:26:51.395Z""}]},""4"":{""Prompt"":""Bottle"",""Response"":[{""id"":3,""iid"":0,""name"":""magnifying lens"",""time"":""2024-05-28T14:27:28.396Z""},{""id"":4,""iid"":1,""name"":""aquarium"",""time"":""2024-05-28T14:27:58.093Z""},{""id"":5,""iid"":2,""name"":""terrarium"",""time"":""2024-05-28T14:28:24.783Z""},{""id"":6,""iid"":3,""name"":""juggling club"",""time"":""2024-05-28T14:28:35.038Z""},{""id"":7,""iid"":4,""name"":""centerfuge"",""time"":""2024-05-28T14:28:54.672Z""}]},""5"":{""Prompt"":""Shoe"",""Response"":[{""id"":8,""iid"":0,""name"":""chock block"",""time"":""2024-05-28T14:29:44.409Z""},{""id"":9,""iid"":1,""name"":""hammer"",""time"":""2024-05-28T14:30:12.500Z""},{""id"":10,""iid"":2,""name"":""drinking vessel"",""time"":""2024-05-28T14:30:22.907Z""},{""id"":11,""iid"":3,""name"":""rug beater"",""time"":""2024-05-28T14:30:32.706Z""},{""id"":12,""iid"":4,""name"":""bicycle brake"",""time"":""2024-05-28T14:30:54.965Z""}]},""6"":{""Prompt"":""Pants"",""Response"":[{""id"":13,""iid"":0,""name"":""floatation device"",""time"":""2024-05-28T14:32:24.506Z""},{""id"":14,""iid"":1,""name"":""flag"",""time"":""2024-05-28T14:32:32.306Z""},{""id"":15,""iid"":2,""name"":""grain storage"",""time"":""2024-05-28T14:33:14.992Z""},{""id"":16,""iid"":3,""name"":""rope"",""time"":""2024-05-28T14:33:28.478Z""},{""id"":17,""iid"":4,""name"":""snow sled"",""time"":""2024-05-28T14:33:43.267Z""},{""id"":18,""iid"":5,""name"":""waist belt"",""time"":""2024-05-28T14:33:55.489Z""},{""id"":19,""iid"":6,""name"":""sponge"",""time"":""2024-05-28T14:34:03.853Z""}]},""7"":{""HideTime"":0},""feedback"":{""q1"":""Somewhat difficult"",""q2"":""Equally excited and concerned"",""q3"":""4"",""q4"":""15"",""q5"":""Think of things that might have been used in an emergency in the past."",""q6"":""no""},""assignmentId"":""3D3VGR7TAK5Z8ZJGURCB6SDWFO1R3U"",""hitId"":""371QPA24DLEDRRL0LAYMTU3Q4Z0T1V"",""workerId"":""AZNIEFUIVB2H0"",""ts_submitted_"":""2024-05-28T14:35:32.999Z""}"
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3VSOLARPKVZT4ZNU0ACPF7D292W93Q,A314XJY8V1YL12,q1,Somewhat difficult
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3VSOLARPKVZT4ZNU0ACPF7D292W93Q,A314XJY8V1YL12,q2,More excited than concerned
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3VSOLARPKVZT4ZNU0ACPF7D292W93Q,A314XJY8V1YL12,q3,4
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3VSOLARPKVZT4ZNU0ACPF7D292W93Q,A314XJY8V1YL12,creative-slider,30
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3VSOLARPKVZT4ZNU0ACPF7D292W93Q,A314XJY8V1YL12,q5,"I tried to think of things that would be different but useful for the last item, things that would be creative but still possible given the structure of the bottle."
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3VSOLARPKVZT4ZNU0ACPF7D292W93Q,A314XJY8V1YL12,q6,no issues
371QPA24DLEDRRL0LAYMTU3Q4Z0T1V,3VSOLARPKVZT4ZNU0ACPF7D292W93Q,A314XJY8V1YL12,workerId,A314XJY8V1YL12
