assignment_id,hit_id,worker_id,condition,diversity,I am more creative than \% of humans (before),Increased use of AI computer programs in daily life makes you feel (before),How difficult was it to come up with uses for the last object?,Increased use of AI computer programs in daily life makes you feel (after),How many total objects encountered?,I am more creative than \% of humans (after),Hide Time,Page Load,Strategy for last object,Technical Issues?
66c521e075655b00c9c05f77,66c51ff206a3b2ebed449186,6266bcf7e82f660b9ba2ae73,Generate,0.5773806183242058,80,More excited than concerned,Somewhat easy,More excited than concerned,4,80,0.0,2024-08-20T23:10:25.068Z,I looked at the shape of the item and thought what that shape and size could be useful for.,No
66c520aade6896a644389d35,66c51ff206a3b2ebed449186,66293a1955a99ad01eb673d3,Absent,0.6621890126899808,100,Equally excited and concerned,Somewhat easy,Equally excited and concerned,5,100,0.0,2024-08-20T23:04:30.595Z,thinking,no
66c52099d2ce8a5c2a38a279,66c51ff206a3b2ebed449186,669c2e563d604758c2925c70,Coach,0.5427828856810797,50,Equally excited and concerned,Somewhat easy,More excited than concerned,4,57,0.0,2024-08-20T23:05:03.972Z,brainstorming,no
66c5209ed3592438c6478d72,66c51ff206a3b2ebed449186,66c207a4206a200d6fd4b276,Generate,0.5917203271566163,95,More excited than concerned,Somewhat difficult,More excited than concerned,4,91,62.72800000000001,2024-08-20T23:03:40.857Z,Basically imagine how to reuse it without deconstructing it.,"no, but the ai type so fast and it can be quite distracting "
66c5207ed1923451b673cb4b,66c51ff206a3b2ebed449186,661d4d205dad877d70a751aa,Coach,0.5771290315332593,53,More excited than concerned,Somewhat difficult,More excited than concerned,4,31,0.0,2024-08-20T23:05:00.909Z,Trying to not think of it as a container but  it wasn't easy.,No
66c5246731ad8821aafd779d,66c51ff206a3b2ebed449186,65df3cf4bf05d8eff24ed78b,Coach,0.5593437699810733,32,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,4,22,0.0,2024-08-20T23:20:49.105Z,I tried to imagine additional functions for fabric. ,No
66c52139589628dadee971d7,66c51ff206a3b2ebed449186,66bd3a6737a7e316b2284562,Coach,0.5904659217032621,46,More concerned than excited,Somewhat easy,More concerned than excited,3,50,0.0,2024-08-20T23:06:40.298Z,Just wrote the first thing that came to mind.,no
66c520c9dea13fa09f790807,66c51ff206a3b2ebed449186,66c40786bc12f49a98f86635,Generate,0.22749953982248927,100,Equally excited and concerned,Somewhat easy,Equally excited and concerned,3,91,4.828,2024-08-20T23:06:12.666Z,I looked at both things that were common and uncommon and devised a different strategy to use the item. ,No
66c520dae5502f2d9e45b31e,66c51ff206a3b2ebed449186,65a02f86f51e8f6fd7a73d01,Absent,0.5574195051457745,21,More concerned than excited,Very difficult,More concerned than excited,4,32,0.0,2024-08-20T23:06:26.453Z,"Since I came up with only two ideas, I would say that I didn't have a good strategy.",No.
66c5209e52efdf91e3b78179,66c51ff206a3b2ebed449186,66745cfbd6e10fd056860b83,Coach,0.38660247754616206,83,More concerned than excited,Somewhat difficult,More excited than concerned,4,87,1.704,2024-08-20T23:06:50.304Z,I was just thinking of what it can be used for apart fro the primary use ,Not at all
66c5209e52efdf91e3b78179,66c51ff206a3b2ebed449186,66745cfbd6e10fd056860b83,Coach,0.38660247754616206,83,More concerned than excited,Somewhat difficult,More excited than concerned,4,87,1.704,2024-08-20T23:06:50.304Z,I was just thinking of what it can be used for apart fro the primary use ,Not at all
66c52194917e3f9993b1b522,66c51ff206a3b2ebed449186,652c23ad28f2f3506085a1c2,Absent,0.45487806835568845,77,More concerned than excited,Very difficult,More concerned than excited,4,61,0.0,2024-08-20T23:08:10.004Z,just trying to think out of the box,no
66c524aa58e462c3fe742fee,66c51ff206a3b2ebed449186,66b46c0d6dfaeaed62185352,Generate,0.5251202086844575,76,Equally excited and concerned,Very difficult,Equally excited and concerned,4,5,0.0,2024-08-20T23:21:31.479Z,"look at the shape, texture, sound ",no
66c5216e5d585013a81403f4,66c51ff206a3b2ebed449186,6672fd3c22104cc6d8138578,Absent,0.5242100244296826,26,More concerned than excited,Somewhat difficult,More concerned than excited,4,26,0.0,2024-08-20T23:07:44.645Z,Think of irregular uses that I have had for bottles,"No, although you should make reverse inputs in your snake game not register (ie, should not be able to reverse direction into self, if going right, make it so you can only turn up or down, not left)"
66c5210f1c4230c095c61e1b,66c51ff206a3b2ebed449186,66c1ff2418faca39cc482dfc,Coach,0.5180892090215452,50,More excited than concerned,Somewhat easy,Equally excited and concerned,3,83,0.0,2024-08-20T23:08:36.300Z,Thinking outside of the box ,No
66c521a56782998d0b948f4f,66c51ff206a3b2ebed449186,60fee29203624362cfafd4ce,Absent,0.5343092429957574,65,More concerned than excited,Somewhat difficult,More concerned than excited,5,64,0.0,2024-08-20T23:08:51.962Z,My strategy was come up with ideas that were kind of similar to what its function is already then try and branch further out.,I did not have any technical issues during the task.
66c5215c0af73f6e79eea993,66c51ff206a3b2ebed449186,5c4748ee0eaa9e0001896df0,Absent,0.47139802425399446,44,More excited than concerned,Very difficult,More excited than concerned,4,41,279.09000000000003,2024-08-20T23:07:21.410Z,my childhood,no
66c52226d61c7b572205f8d9,66c51ff206a3b2ebed449186,668d822d705c807ed4664ae1,Coach,0.6335165475656839,42,More concerned than excited,Somewhat difficult,Equally excited and concerned,4,23,16.406,2024-08-20T23:10:09.291Z,Just being as creative as possible,No
66c521fabf53f88ce4c06259,66c51ff206a3b2ebed449186,66c3486c80ce2c14ce54e95b,Generate,0.5941259795077326,66,Equally excited and concerned,Somewhat easy,More excited than concerned,4,62,0.0,2024-08-20T23:09:51.799Z,Looking around my home or thinking of things that I could use it for ,no
66c521d5cac23b2ad5903e27,66c51ff206a3b2ebed449186,5f8394cdd4459c14c000697e,Absent,0.5021635967546498,60,More concerned than excited,Somewhat difficult,More concerned than excited,4,59,157.52,2024-08-20T23:09:13.258Z,"Tried to imagine myself holding it, and what I could do with it easily in my hand",No
66c5218a2100ef071ae030ed,66c51ff206a3b2ebed449186,669802cf14276986c0fc13bf,Absent,0.5013490847276991,92,More excited than concerned,Somewhat easy,More excited than concerned,5,93,0.0,2024-08-20T23:09:54.207Z,i assumed that i was at home,no
66c521ecceb11b7faf475f8f,66c51ff206a3b2ebed449186,6557a2dfd22031d3f3bc9a05,Absent,0.5404662866155434,100,More excited than concerned,Somewhat difficult,More excited than concerned,4,100,231.88,2024-08-20T23:09:46.312Z,"I had to think of unusual use cases for each object. questions like, what could this be used if not for the purpose it was invented?",no
66c522cccac23b2ad5903e51,66c51ff206a3b2ebed449186,602695e162fd6034f904d1e4,Absent,0.536636407964661,77,More concerned than excited,Very easy,More concerned than excited,4,74,0.0,2024-08-20T23:13:38.869Z,Just thought of what could I use with an object of that shape ,No
66c522a8a4ba0de3b4d3221b,66c51ff206a3b2ebed449186,65c273252f46c0f1081a4d8d,Generate,0.48015596638018865,60,Equally excited and concerned,Very easy,Equally excited and concerned,5,62,0.0,2024-08-20T23:13:44.341Z,thinking of ways to use fabric,no
66c522ef3cc124cc39d4f21a,66c51ff206a3b2ebed449186,65c11b5fd847dd03ec6a599a,Coach,0.4584698276642222,15,Equally excited and concerned,Very difficult,Equally excited and concerned,4,2,0.0,2024-08-20T23:14:02.065Z,I did not have a strategy. This exercise made me realize I am not creative at all.,No
66c520f3d82cf862d7b36c32,66c51ff206a3b2ebed449186,64209f2c30443a1d7afb7234,Coach,0.5603395735775303,100,Equally excited and concerned,Somewhat easy,More excited than concerned,4,100,51.483999999999995,2024-08-20T23:14:02.243Z,I just use the idea that comes to my mind,none
66c5226e90243da91268246b,66c51ff206a3b2ebed449186,65c3c604cf32f06c08bc9e21,Generate,0.6745876443066317,79,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,4,60,0.0,2024-08-20T23:13:53.491Z,Though about things I did in my childhood.,None
66c52509f1d702edef841527,66c51ff206a3b2ebed449186,6605c023887cc106775bc31e,Coach,0.6300758549899824,100,More concerned than excited,Somewhat difficult,More excited than concerned,5,100,6.765,2024-08-20T23:22:21.673Z,Think of ideas that can be simple but yet useful and clever. ,"Maybe in the beginning, but then once i got into the ideas it really was just simpler"
66c52300589628dadee97212,66c51ff206a3b2ebed449186,604d5e61486bd0622d2102c0,Coach,0.5669131032915933,5,More excited than concerned,Somewhat easy,More excited than concerned,4,5,0.0,2024-08-20T23:14:59.114Z,I studied the image and wondered what I could do with the object to make it new.,None
66c5231604bbe257d079076c,66c51ff206a3b2ebed449186,66b6383f1b2aeb43a8be38e5,Coach,0.4079004379295388,92,More concerned than excited,Very easy,More concerned than excited,4,91,197.41000000000003,2024-08-20T23:14:42.539Z,I ised my intuition,no
66c5235381fc418a67d57af7,66c51ff206a3b2ebed449186,65fe94ba6224418236d68fa8,Coach,0.5682621069952085,66,More concerned than excited,Somewhat difficult,Equally excited and concerned,4,50,13.498000000000001,2024-08-20T23:16:05.167Z,I tried to think outside of the box.,no
66c522b30bb24fe62da0947c,66c51ff206a3b2ebed449186,669d1b9add7122cabf5f54dc,Absent,0.4934846360421584,70,More excited than concerned,Very difficult,More excited than concerned,4,80,26.711000000000002,2024-08-20T23:15:49.450Z,I just came up with them,No 
66c524aa70ec0ef061ff6a34,66c51ff206a3b2ebed449186,5ecbdb76e72f9577c2ad60d6,Absent,0.5388870481229462,75,More concerned than excited,Somewhat difficult,More concerned than excited,4,27,0.0,2024-08-20T23:22:10.259Z,No particular strategy,I don't have an r key and couldnt paste in the boxes so had to think of words without r in
66c5239a958593d5c69b4f43,66c51ff206a3b2ebed449186,6115e6f3c50b7ffddb83a235,Coach,0.5776937886694651,53,More concerned than excited,Somewhat easy,More concerned than excited,4,55,0.0,2024-08-20T23:16:36.001Z,"think about what it resembles, what it's shape might be useful for",no
66c52356dea13fa09f79085a,66c51ff206a3b2ebed449186,5ed68c770e41400dd0056c55,Coach,0.5171215818940542,75,More concerned than excited,Somewhat easy,Equally excited and concerned,4,60,0.0,2024-08-20T23:16:44.290Z,Think about more practical uses at first and something more imaginative later.,No
66c52322393ec67b6c498cd1,66c51ff206a3b2ebed449186,66c49517542df956c9e67315,Generate,0.525780221574889,86,More excited than concerned,Somewhat difficult,More excited than concerned,3,71,0.0,2024-08-20T23:17:20.102Z,focus on the material and shape of the object,No
66c523b90039080de1ff8a05,66c51ff206a3b2ebed449186,66b8e8f12fa9160e4ca9f25b,Generate,0.6034815212655976,75,More concerned than excited,Very easy,More concerned than excited,4,75,79.678,2024-08-20T23:17:40.248Z,think of different things one could physically do with it or picture it in different situations,no 
66c52474665829ae4edb734d,66c51ff206a3b2ebed449186,669ac45bd03c1be10fb60f59,Coach,0.5971611854727166,80,More concerned than excited,Very easy,More concerned than excited,4,85,0.0,2024-08-20T23:20:11.430Z,I used to be a fashion designer so I thought a lot about how I would repurpose clothes for DIY purposes or to make them into other clothes. I also thought about it as a piece of fabric rather than a garment.,Nope
66c52445b4389356239c0f38,66c51ff206a3b2ebed449186,612f916e59df6cf21323c251,Coach,0.5041931198432481,50,More concerned than excited,Very difficult,More concerned than excited,4,35,0.0,2024-08-20T23:20:11.610Z,"it was really difficult as usually when i have shoes i dont wear anymore i donate or recycle them, i dont ever think of another/different way to reuse them around the house.",no
66c524813a6778e4c9478eb9,66c51ff206a3b2ebed449186,5c3faeadf3386e0001c65a8c,Coach,0.5574590857041444,49,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,4,24,0.0,2024-08-20T23:22:22.352Z,think about less used real life uses for it,no
66c523f060d6c48ec967ba0c,66c51ff206a3b2ebed449186,665f18bff3d8f3616c3e8982,Generate,0.5367001507865159,66,More concerned than excited,Somewhat difficult,More concerned than excited,4,66,142.99499999999998,2024-08-20T23:18:46.158Z,Just thinking of what Ive done in the past. ,The snake game didnt work well for me. 
66c52442103d07f2bd1404bc,66c51ff206a3b2ebed449186,66c4460e502819ffa17ebe23,Generate,0.49270992143846126,80,More concerned than excited,Somewhat difficult,More concerned than excited,5,60,0.0,2024-08-20T23:20:29.211Z,I thin alot before coming out with what i said,No
66c524a2f26a1ff55a503615,66c51ff206a3b2ebed449186,607af2497d616068428acba0,Absent,0.5896370723220299,33,More concerned than excited,Very difficult,More concerned than excited,3,11,0.0,2024-08-20T23:21:14.913Z,i tried to think of things that didnt relate to wearing the object,no
66c524c113fbc6c5629c0fff,66c51ff206a3b2ebed449186,666781ea24207474fe97387a,Absent,0.5344538387365831,82,More concerned than excited,Somewhat easy,More concerned than excited,4,62,7.485,2024-08-20T23:21:26.250Z,"Imagining what could fit inside, or the general qualities of a shoe.",No.
66c52456fef2d33ba0dbf00f,66c51ff206a3b2ebed449186,6656019bbcdd22bc6736b43b,Absent,0.6537878414592359,60,More concerned than excited,Somewhat difficult,More concerned than excited,3,50,0.0,2024-08-20T23:20:51.563Z,trying to forget it's a table,no
